year,line,ship,start_date,end_date,symptoms,cause
2010,Celebrity Cruises,Mercury,2/26/10,3/8/10,diarrhea and vomiting,Norovirus
2010,Royal Caribbean Cruise Line,Jewel of the Seas,2/22/10,3/5/10,diarrhea and vomiting,Unknown
2010,Celebrity Cruises,Millennium,2/22/10,3/5/10,diarrhea and vomiting,Norovirus
2010,Holland America Line,Maasdam,2/19/10,3/5/10,diarrhea and vomiting,Norovirus
2010,Celebrity Cruises,Mercury,2/15/10,2/26/10,diarrhea and vomiting,Norovirus
2010,Fred Olsen Cruise Lines,Balmoral,1/5/10,2/4/10,diarrhea and vomiting,Unknown
2010,Cunard Cruise Line,Queen Victoria,1/12/10,1/27/10,diarrhea and vomiting,Unknown
2010,Cunard Cruise Line,Queen Victoria,1/4/10,1/12/10,diarrhea and vomiting,Norovirus
2009,Holland America Line,ms Amsterdam,12/2/09,12/23/09,diarrhea and vomiting,Norovirus
2009,Regent Seven Seas Cruises,Seven Seas Mariner,12/2/09,12/20/09,diarrhea and vomiting,Norovirus
2009,Norwegian Cruise Line,Norwegian Spirit,10/23/09,11/8/09,diarrhea and vomiting,Norovirus
2009,Holland America Line,Noordam,10/16/09,11/1/09,diarrhea and vomiting,Norovirus
2009,Holland America Line,Amsterdam,5/23/09,5/30/09,diarrhea and vomiting,Unknown
2009,Princess Cruises,Coral Princess,5/18/09,5/25/09,diarrhea and vomiting,Unknown
2009,Princess Cruises,Island Princess,4/23/09,5/7/09,"diarrhea, abdominal cramps, fever, and vomiting",Shigella sonnei and Enterotoxigenic E. coli (ETEC)
2009,Carnival Cruise Line,Carnival Liberty,4/18/09,4/25/09,"diarrhea, vomiting, and abdominal cramps",Norovirus
2009,Holland America Line,Amsterdam,4/2/09,4/24/09,diarrhea and vomiting,Cyclospora cayetanensis
2009,Celebrity Cruises,Celebrity Mercury,2/28/09,3/15/09,diarrhea and vomiting,Norovirus
2009,Holland America Line,Oosterdam,2/21/09,2/28/09,diarrhea and vomiting,Norovirus
2009,Holland America Line,Zaandam,2/5/09,2/20/09,diarrhea and vomiting,Norovirus
2009,Princess Cruises,Coral Princess,2/3/09,2/13/09,diarrhea and vomiting,Norovirus
2009,Celebrity Cruises,Celebrity Mercury,1/3/09,1/17/09,diarrhea and vomiting,Norovirus
2009,Holland America Line,Maasdam,1/2/09,1/9/09,diarrhea and vomiting,Unknown
2008,Holland America Line,Zuiderdam,10/23/08,11/9/08,diarrhea and vomiting,Norovirus
2008,Princess Cruises,Caribbean Princess,10/19/08,10/26/08,diarrhea and vomiting,Norovirus
2008,Norwegian Cruise Line,Norwegian Jewel,10/8/08,10/18/08,diarrhea and vomiting,Norovirus
2008,American Canadian Cruise Line,Grande Caribe,9/30/08,10/12/08,diarrhea and vomiting,Norovirus
2008,Norwegian Cruise Line,Norwegian Jewel,9/28/08,10/8/08,diarrhea and vomiting,Norovirus
2008,Regent Seven Seas Cruises,Seven Seas Mariner,8/27/08,9/3/08,diarrhea and vomiting,Norovirus
2008,Holland America Line,Veendam,6/13/08,6/20/08,diarrhea and vomiting,Norovirus
2008,Norwegian Cruise Line,Norwegian Dream,4/13/08,5/1/08,diarrhea,Norovirus and Enterotoxigenic E. coli (ETEC)
2008,Holland America Line,Zaandam,3/19/08,4/3/08,diarrhea and vomiting,Norovirus
2008,Holland America Line,Ryndam,2/15/08,2/25/08,diarrhea and vomiting,Norovirus
2008,Carnival Cruise Line,Holiday,1/24/08,1/28/08,diarrhea and vomiting,Norovirus
2008,Norwegian Cruise Line,Norwegian Star,1/19/08,1/27/08,diarrhea and vomiting,Norovirus
2008,Holland America Line,Noordam,1/5/08,1/16/08,diarrhea and vomiting,Norovirus
2008,Holland America Line,Volendam,1/2/08,1/12/08,diarrhea and vomiting,Norovirus
2008,Princess Cruises,Pacific Princess,12/15/08,1/10/08,diarrhea and vomiting,Enterotoxigenic E. coli (ETEC)
2007,Princess Cruises,Emerald Princess,12/16/07,12/26/07,diarrhea and vomiting,Norovirus
2007,Norwegian Cruise Line,Norwegian Pearl,11/30/07,12/9/07,diarrhea and vomiting,Norovirus
2007,Holland America Line,Zaandam,11/5/07,11/20/07,diarrhea and vomiting,Norovirus
2007,Norwegian Cruise Line,Norwegian Dawn,10/14/07,10/26/07,diarrhea and vomiting,Norovirus
2007,Norwegian Cruise Line,Norwegian Crown,8/12/07,8/19/07,diarrhea and vomiting,Norovirus
2007,Carnival Cruise Line,Carnival Spirit,6/13/07,6/20/07,diarrhea and vomiting,Norovirus
2007,Royal Caribbean Cruise Line,Liberty of the Seas,5/26/07,6/2/07,diarrhea and vomiting,Norovirus
2007,Norwegian Cruise Line,Norwegian Star,5/19/07,5/26/07,diarrhea and vomiting,Norovirus
2007,Norwegian Cruise Line,Norwegian Pearl,4/13/07,4/22/07,diarrhea and vomiting,Specimens not obtained
2007,Holland America Line,Volendam,4/12/07,4/22/07,diarrhea and vomiting,Specimens not obtained
2007,Regent Seven Seas Cruises,Seven Seas Navigator,4/5/07,4/16/07,"diarrhea, vomiting, and abdominal cramps",Norovirus
2007,Celebrity Cruises,Zenith,4/2/07,4/13/07,diarrhea and vomiting,Norovirus
2007,Majestic America Line,Empress of the North,3/16/07,3/21/07,diarrhea and vomiting,Norovirus
2007,Princess Cruises,Regal Princess,3/13/07,3/25/07,diarrhea and vomiting,Unknown
2007,Regent Seven Seas Cruises,Seven Seas Mariner,2/25/07,3/9/07,diarrhea and vomiting,"Shigella, Salmonella, Enterobacter, and Entameoba histolytica"
2007,Holland America Line,Ryndam,3/3/07,3/13/07,diarrhea and vomiting,Norovirus
2007,Holland America Line,Ryndam,2/21/07,3/3/07,diarrhea and vomiting,Norovirus
2007,Holland America Line,Ryndam,1/22/07,2/21/07,diarrhea and vomiting,Norovirus
2007,Holland America Line,Westerdam,2/2/07,2/11/07,diarrhea and vomiting,Norovirus
2007,Princess Cruises,Island Princess,1/26/07,2/10/07,diarrhea and vomiting,Norovirus
2007,Cruise West,Spirit of Nantucket,1/27/07,2/3/07,diarrhea and vomiting,Unknown
2007,Holland America Line,Volendam,1/22/07,2/1/07,diarrhea and vomiting,Specimens not obtained
2007,Cunard Cruise Line,Queen Elizabeth 2,1/8/07,1/22/07,diarrhea and vomiting,Norovirus
2006,Princess Cruises,Regal Princess,12/7/06,12/27/06,diarrhea and vomiting,Norovirus
2006,Princess Cruises,Sun Princess,11/30/06,12/10/06,diarrhea and vomiting,Norovirus
2006,Norwegian Cruise Line,Norwegian Wind,11/29/06,12/9/06,diarrhea and vomiting,Norovirus
2006,Holland America Line,Zaandam,11/26/06,12/11/06,diarrhea and vomiting,Norovirus
2006,Royal Caribbean Cruise Line,Freedom of the Seas,11/26/06,12/3/06/2006,diarrhea and vomiting,Norovirus
2006,Royal Caribbean Cruise Line,Freedom of the Seas,12/3/06,12/10/06,diarrhea and vomiting,Norovirus
2006,Royal Caribbean Cruise Line,Serenade of the Seas,11/18/06,11/25/06,diarrhea and vomiting,Norovirus
2006,Celebrity Cruises,Summit,11/11/06,11/25/06,diarrhea and vomiting,"Unknown, negative for norovirus"
2006,Royal Caribbean Cruise Line,Adventure of the Seas,11/5/06,11/12/06,diarrhea and vomiting,Norovirus
2006,Carnival Cruise Line,Carnival Liberty,11/3/06,11/19/06,diarrhea and vomiting,Norovirus
2006,Royal Caribbean Cruise Line,Serenade of the Seas,10/29/06,11/11/06,diarrhea and vomiting,Norovirus
2006,Princess Cruises,Island Princess,10/21/06,11/5/06,diarrhea and vomiting,Norovirus
2006,Celebrity Cruises,Constellation,10/27/06,11/7/06,diarrhea and vomiting,Norovirus
2006,Celebrity Cruises,Constellation,10/16/06,10/27/06/2006,diarrhea and vomiting,Norovirus
2006,Princess Cruises,Diamond Princess,9/2/06,9/9/06,diarrhea and vomiting,Norovirus
